id,device,time,hr,rr,feedback,moving,activity,latitude,longitude,stress,studyCondition
1,Rhythm 24 5963,2019-03-11 22:35:29 +0000,0,1031.25,FALSE,0,0,42.48097385,-76.47500514,0,0
2,Rhythm 24 5963,2019-03-11 22:35:33 +0000,0,807.6171875,FALSE,0,0,42.48097385,-76.47500514,0,0
3,Rhythm 24 5963,2019-03-11 22:35:34 +0000,77,839.84375,FALSE,0,0,42.48097385,-76.47500514,0,0
4,Rhythm 24 5963,2019-03-11 22:35:35 +0000,77,807.6171875,FALSE,0,0,42.48097385,-76.47500514,0,0
5,Rhythm 24 5963,2019-03-11 22:35:36 +0000,77,831.0546875,FALSE,0,0,42.48097385,-76.47500514,0,0
6,Rhythm 24 5963,2019-03-11 22:35:37 +0000,77,815.4296875,FALSE,0,0,42.48097385,-76.47500514,0,0
7,Rhythm 24 5963,2019-03-11 22:35:37 +0000,77,775.390625,FALSE,0,0,42.48097385,-76.47500514,0,0
8,Rhythm 24 5963,2019-03-11 22:35:38 +0000,77,791.9921875,FALSE,0,0,42.48097385,-76.47500514,0,0
9,Rhythm 24 5963,2019-03-11 22:35:39 +0000,76,815.4296875,FALSE,0,0,42.48097385,-76.47500514,0,0
10,Rhythm 24 5963,2019-03-11 22:35:40 +0000,76,791.9921875,FALSE,0,0,42.48097385,-76.47500514,0,0
11,Rhythm 24 5963,2019-03-11 22:35:47 +0000,76,775.390625,FALSE,0,0,42.48097385,-76.47500514,0,0
12,Rhythm 24 5963,2019-03-11 22:35:49 +0000,80,671.875,FALSE,0,0,42.48097385,-76.47500514,0,0
13,Rhythm 24 5963,2019-03-11 22:35:49 +0000,80,639.6484375,FALSE,0,0,42.48097385,-76.47500514,0,0
14,Rhythm 24 5963,2019-03-11 22:35:50 +0000,80,623.046875,FALSE,0,0,42.48097385,-76.47500514,0,0
15,Rhythm 24 5963,2019-03-11 22:35:50 +0000,80,655.2734375,FALSE,0,0,42.48097385,-76.47500514,0,0
16,Rhythm 24 5963,2019-03-11 22:36:00 +0000,82,807.6171875,FALSE,0,0,42.48097385,-76.47500514,0,0
17,Rhythm 24 5963,2019-03-11 22:36:01 +0000,82,767.578125,FALSE,0,0,42.48097385,-76.47500514,0,0
18,Rhythm 24 5963,2019-03-11 22:36:03 +0000,82,863.28125,FALSE,0,0,42.48097385,-76.47500514,0,0
19,Rhythm 24 5963,2019-03-11 22:36:04 +0000,82,871.09375,FALSE,0,0,42.48097385,-76.47500514,0,0
20,Rhythm 24 5963,2019-03-11 22:36:05 +0000,80,871.09375,FALSE,0,0,42.48097385,-76.47500514,0,0
21,Rhythm 24 5963,2019-03-11 22:36:06 +0000,80,879.8828125,FALSE,0,0,42.48097385,-76.47500514,0,0
